orden_piloto,estado_pilotaje,id_item,estado_beta,prioridad,area_canonica,subarea,perfil_sugerido,tipo_item,ruta_actual_o_propuesta,ruta_origen,lote,decisiones,acciones,fuentes,json_materializado,validacion_minima,destino_beta,notas
36,PILOTAJE_V1,DIL_B04_I01,PILOTAJE_V1_CANDIDATO,100,normatividad,Activacion de ruta ante riesgo,por_confirmar,funcional,"content/items/Responsabilidad legal escolar, riesgos y prohibición de tratos degradantes/DIL_B04_I01.json","content/items/Responsabilidad legal escolar, riesgos y prohibición de tratos degradantes/DIL_B04_I01.json",L027,LISTO_PARA_BANCO | MATERIALIZADO,mantener_en_banco | movido_a_content_items,auditoria/L027 | auditoria/L068 | auditoria/L078 | auditoria/L081 | content/items | fase-5/banco-final | fase-5b/microbloque-01/banco-premium,si,clave_ok | justificacion_ok | opciones_ok,content/items/beta-v1/normatividad/DIL_B04_I01.json,"Exige actuación situada de protección y activación de ruta; movido a ubicación final en content/items. / Ya materializado en Fase 5. / Convierte deber de cuidado y activación de ruta en una respuesta escolar observable sin recaer en memoria pura. / La opcion correcta se ajusta al deber de garante de la institucion: actuar con reserva, documentar hechos observables y activar la ruta competente sin retrasar la proteccion ni revictimizar al estudiante."
37,PILOTAJE_V1,CB04_I01,PILOTAJE_V1_CANDIDATO,90,normatividad,"PIAR, DUA y ajustes razonables",por_confirmar,funcional,content/restructuring-v1/docente/normatividad/por_confirmar/funcional/CB04_I01.json,content/items/stand-by/Inclusión Decreto 1421/CB04_I01.json,L019,LISTO_PARA_BANCO,,auditoria/L019,no,,content/items/beta-v1/normatividad/CB04_I01.json,"La opción correcta mantiene la obligación institucional de remover barreras y concretar apoyos pertinentes dentro del aula común. El Decreto 1421 no ordena segregar ni suspender el PIAR, y tampoco equipara inclusión con rebajar las metas de todo el grupo."
38,PILOTAJE_V1,CEOL_B02_I07,PILOTAJE_V1_CANDIDATO,90,normatividad,Actuación disciplinaria restaurativa,coordinador,funcional,content/restructuring-v1/docente/normatividad/coordinador/funcional/CEOL_B02_I07.json,"content/items/stand-by/Enfoque de derechos, debido proceso y justicia restaurativa/CEOL_B02_I07.json",L045,LISTO_PARA_BANCO | LISTO_PARA_PILOTAJE,,auditoria/L045 | auditoria/L056 | auditoria/L068 | auditoria/L078 | fase-5/pilotaje,no,,content/items/beta-v1/normatividad/CEOL_B02_I07.json,"Registro corregido desde L056 con trazabilidad de lote verificable. / La opción B es la mejor respuesta porque articula garantías mínimas del debido proceso con una salida restaurativa que busca reparación y seguimiento, no solo castigo o cierre informal. / La opción A es la más sólida porque combina garantías procedimentales, documentación, proporcionalidad y reparación. No renuncia al enfoque restaurativo, pero tampoco elimina la trazabilidad ni el análisis individual de responsabilidades. / E"
39,PILOTAJE_V1,CEOL_B03_I02,PILOTAJE_V1_CANDIDATO,90,normatividad,Limites frente a vulneracion grave de derechos,orientador,funcional,content/restructuring-v1/docente/normatividad/orientador/funcional/CEOL_B03_I02.json,"content/items/stand-by/Rol, funciones y límites del orientador escolar/CEOL_B03_I02.json",L027,LISTO_PARA_BANCO,,auditoria/L027,no,,content/items/beta-v1/normatividad/CEOL_B03_I02.json,"La opcion correcta delimita con precision el rol del orientador frente a vulneraciones graves: contener, proteger y activar la ruta, no investigar ni producir prueba judicial."
40,PILOTAJE_V1,CEOL_B10_I02,PILOTAJE_V1_CANDIDATO,90,normatividad,organizacion_educativa,rector_director_rural,funcional,content/items/normatividad/CEOL_B10_I02.json,"content/items/stand-by/Autonomía institucional, enfoques de convivencia y organización del servicio educativo/CEOL_B10_I02.json",L035,BANCO_OPERACIONAL | LISTO_PARA_PILOTAJE | Listo para el banco | OMITIDO_POR_AUDITORIA_PREVIA,,auditoria/L003 | auditoria/L035 | auditoria/L058 | auditoria/L077 | content/items | content/items/_banco-operacional.csv,si,clave_ok | justificacion_ok | opciones_ok,content/items/beta-v1/normatividad/CEOL_B10_I02.json,"La respuesta correcta es C porque la autonomia escolar permite organizar respuestas institucionales contextualizadas, pero no por fuera del marco constitucional, legal y procedimental que regula convivencia y derechos de los estudiantes. / Se conserva por su juicio institucional observable sobre autonomía escolar y debido proceso. / La clave es C porque la autonomía escolar habilita respuestas pedagógicas e institucionales contextualizadas, pero nunca por fuera de la jerarquía normativa ni del d"
41,PILOTAJE_V1,CEOL_B10_I03,PILOTAJE_V1_CANDIDATO,90,normatividad,organizacion_educativa,por_confirmar,funcional,content/items/normatividad/CEOL_B10_I03.json,"content/items/stand-by/Autonomía institucional, enfoques de convivencia y organización del servicio educativo/CEOL_B10_I03.json",L035,BANCO_OPERACIONAL | LISTO_PARA_PILOTAJE | Listo para el banco | OMITIDO_POR_AUDITORIA_PREVIA,,auditoria/L003 | auditoria/L035 | auditoria/L058 | auditoria/L077 | content/items | content/items/_banco-operacional.csv,si,clave_ok | justificacion_ok | opciones_ok,content/items/beta-v1/normatividad/CEOL_B10_I03.json,"La respuesta correcta es A porque combina prevencion, participacion, mediacion y seguimiento, que son rasgos de una gestion formativa y avanzada de convivencia en aula. / Se conserva porque traduce convivencia aplicada en práctica docente observable, aunque mantiene revisión humana de clasificación. / La clave es A porque refleja un enfoque preventivo, participativo y formativo de la convivencia: construcción compartida de acuerdos, anticipación de riesgos, mediación cotidiana y seguimiento sost"
42,PILOTAJE_V1,CEOL_B10_I04,PILOTAJE_V1_CANDIDATO,90,normatividad,organizacion_educativa,rector_director_rural,funcional,content/items/normatividad/CEOL_B10_I04.json,"content/items/stand-by/Autonomía institucional, enfoques de convivencia y organización del servicio educativo/CEOL_B10_I04.json",L035,BANCO_OPERACIONAL | LISTO_PARA_PILOTAJE | Listo para el banco | OMITIDO_POR_AUDITORIA_PREVIA,,auditoria/L003 | auditoria/L035 | auditoria/L058 | auditoria/L077 | content/items | content/items/_banco-operacional.csv,si,clave_ok | justificacion_ok | opciones_ok,content/items/beta-v1/normatividad/CEOL_B10_I04.json,"La respuesta correcta es C porque armoniza continuidad del servicio, organizacion institucional y respeto de los limites laborales y funcionales del personal docente. / Se conserva por su caso funcional sobre continuidad del servicio y límites laborales con autonomía institucional situada. / La clave es C porque armoniza el deber de garantizar continuidad del servicio con el respeto por la asignación académica, la jornada laboral y la diferenciación de roles. Resuelve la contingencia con planeac"
43,PILOTAJE_V1,DIL_B02_I02,PILOTAJE_V1_CANDIDATO,90,normatividad,activacion de ruta ante indicios de vulneracion,por_confirmar,funcional,content/restructuring-v1/docente/normatividad/por_confirmar/funcional/DIL_B02_I02.json,content/items/stand-by/PARD y restablecimiento de derechos/DIL_B02_I02.json,L023,LISTO_PARA_BANCO | LISTO_PARA_PILOTAJE,,auditoria/L023 | auditoria/L064,no,,content/items/beta-v1/normatividad/DIL_B02_I02.json,La opcion A es la unica que conecta el caso con el supuesto juridico y protector correcto: indicios de vulneracion de derechos que obligan a activar la ruta y dar traslado a autoridad competente.
44,PILOTAJE_V1,DIL_B02_I06,PILOTAJE_V1_CANDIDATO,90,normatividad,limites de competencia escolar frente a presunto abuso,por_confirmar,funcional,content/restructuring-v1/docente/normatividad/por_confirmar/funcional/DIL_B02_I06.json,content/items/stand-by/PARD y restablecimiento de derechos/DIL_B02_I06.json,L023,LISTO_PARA_BANCO,,auditoria/L023 | auditoria/L064,no,,content/items/beta-v1/normatividad/DIL_B02_I06.json,"La opcion A recoge la respuesta institucional correcta: proteccion inmediata, documentacion objetiva y traslado oportuno a autoridad competente, evitando revictimizacion y extralimitacion de funciones."
45,PILOTAJE_V1,DIL_B03_I04,PILOTAJE_V1_CANDIDATO,90,normatividad,evolucion_normativa_infancia,por_confirmar,funcional,content/items/normatividad/DIL_B03_I04.json,content/items/stand-by/Evolución normativa - Código del Menor vs. Ley 1098/DIL_B03_I04.json,L016,BANCO_OPERACIONAL | LISTO_PARA_PILOTAJE | Listo para el banco,,auditoria/L016 | content/items | content/items/_banco-operacional.csv | fase-5/pilotaje,si,clave_ok | justificacion_ok | opciones_ok,content/items/beta-v1/normatividad/DIL_B03_I04.json,"Ítem normativo relativamente situado sobre protección integral y rutas institucionales. / La opción A es la mejor respuesta porque lleva el principio de protección integral a actuaciones escolares concretas: prevenir, detectar, reportar y articular rutas sin esperar daño extremo ni orden judicial previa."
